UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000011995731;M01G0251;CTO - OPTAP;RSTRI_G1M01;RUA AMANCIO AMARAL TRAMANDAI CENTRO 95590000 RS SN;TRAMANDAI;-29.984173400;-50.130902700;G0;RSTRI-M01SP32;RSTRI-M01SP32-SS3;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/2/16
EQP0000000011995405;N02G02425;CTO - OPTAP;RSTRI_G1N02;RUA BOTO CINZA TRAMANDAI ALDEIA DA LAGOA 95590000 RS SN;TRAMANDAI;-30.031680800;-50.165230100;G0;RSTRI-N02SP304;RSTRI-N02SP304-SS1;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/8/4
EQP0000000011997732;N02G02330;CTO - OPTAP;RSTRI_G1N02;RUA SANTA CATARINA TRAMANDAI NOVA TRAMANDAI 95590000 RS SN;TRAMANDAI;-30.036532500;-50.162643800;G0;RSTRI-N02SP292;RSTRI-N02SP292-SS2;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/7/8
EQP0000000011996726;M01G01269;CTO - OPTAP;RSTRI_G1M01;AVENIDA MARCILIO DIAS TRAMANDAI ZONA NOVA 95590000 RS 2450;TRAMANDAI;-30.005527900;-50.137708800;G0;RSTRI-M01SP159;RSTRI-M01SP159-SS5;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/6/7
EQP0000000011996124;M01G01303;CTO - OPTAP;RSTRI_G1M01;RUA ANDRADE NEVES TRAMANDAI ZONA NOVA 95590000 RS 1185;TRAMANDAI;-30.001801500;-50.134015900;G0;RSTRI-M01SP163;RSTRI-M01SP163-SS7;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/6/11
EQP0000000011997970;N02G01372;CTO - OPTAP;RSTRI_G1N02;RUA FERNANDO DE NORANHA TRAMANDAI OASIS SUL 95590000 RS 2896;TRAMANDAI;-30.051692800;-50.159093900;G0;RSTRI-N02SP172;RSTRI-N02SP172-SS4;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/5/14
EQP0000000011995190;N02G01491;CTO - OPTAP;RSTRI_G1N02;RUA AMAZONAS TRAMANDAI NOVA TRAMANDAI 95590000 RS 1773;TRAMANDAI;-30.042477900;-50.151881500;G0;RSTRI-N02SP187;RSTRI-N02SP187-SS3;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/6/13
EQP0000000011996725;M01G01268;CTO - OPTAP;RSTRI_G1M01;AVENIDA TIRADENTES TRAMANDAI ZONA NOVA 95590000 RS SN;TRAMANDAI;-30.006282300;-50.136747200;G0;RSTRI-M01SP159;RSTRI-M01SP159-SS4;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/6/7
EQP0000000011997540;N02G02338;CTO - OPTAP;RSTRI_G1N02;RUA RONDONIA TRAMANDAI NOVA TRAMANDAI 95590000 RS 1855;TRAMANDAI;-30.040474400;-50.162990000;G0;RSTRI-N02SP293;RSTRI-N02SP293-SS2;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/7/9
EQP0000000011996378;N02G02481;CTO - OPTAP;RSTRI_G1N02;RUA PERNAMBUCO TRAMANDAI NOVA TRAMANDAI 95590000 RS 1245;TRAMANDAI;-30.036431900;-50.158091600;G0;RSTRI-N02SP311;RSTRI-N02SP311-SS1;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/8/11
