UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000088704927;A04G0189;CTO - UCAO-8;ESCIM_G1A04;AVENIDA ETELVINA VIVACQUA CACHOEIRO DE ITAPEMIRIM OTTON MARINS 29301809 ES 105;CACHOEIRO DE ITAPEMIRIM;-20.848608600;-41.132189900;G0;ESCIM-A04SP48;ESCIM-A04SP48-SS1
EQP0000000091066368;I01GP244;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESCIM_G1I01;RUA DOUTOR JUSTINO HEMERLY ELIAS CACHOEIRO DE ITAPEMIRIM DOUTOR GILBERTO MACHADO 29303391 ES 270;CACHOEIRO DE ITAPEMIRIM;-20.856694200;-41.120430000;GP;ESCIM-I01SP61;ESCIM-I01SP61-SS4
EQP0000000088704255;I01G0455;CTO - UCAO-8;ESCIM_G1I01;RUA JERONIMO RIBEIRO CACHOEIRO DE ITAPEMIRIM ALTO AMARELO 29304377 ES 302;CACHOEIRO DE ITAPEMIRIM;-20.858465700;-41.114186400;G0;ESCIM-I01SP114;ESCIM-I01SP114-SS3
EQP0000000088705299;A07G0317;CTO - UCAO-8;ESCIM_G1A07;RUA IRINEU HERMOGENES DOS SANTOS CACHOEIRO DE ITAPEMIRIM SANTA HELENA 29307050 ES 26;CACHOEIRO DE ITAPEMIRIM;-20.845086600;-41.106684200;G0;ESCIM-A07SP80;ESCIM-A07SP80-SS1
EQP0000000088702928;A06G0487;CTO - UCAO-8;ESCIM_G1A06;RUA LINO ZANOTELLI CACHOEIRO DE ITAPEMIRIM ABELARDO FERREIRA MACHADO 29309260 ES 91;CACHOEIRO DE ITAPEMIRIM;-20.840113600;-41.116448300;G0;ESCIM-A06SP122;ESCIM-A06SP122-SS3
EQP0000000088701876;A02G0316;CTO - UCAO-8;ESCIM_G1A02;RUA JORGE LUIZ DA SILVA CACHOEIRO DE ITAPEMIRIM JARDIM ITAPEMIRIM 29315702 ES 50;CACHOEIRO DE ITAPEMIRIM;-20.858447800;-41.153016400;G0;ESCIM-A02SP79;ESCIM-A02SP79-SS4
EQP0000000088703047;A08G0023;CTO - UCAO-8;ESCIM_G1A08;RUA COELHO NETO CACHOEIRO DE ITAPEMIRIM SAO LUIZ GONZAGA 29306852 ES 11;CACHOEIRO DE ITAPEMIRIM;-20.849951300;-41.093060300;G0;ESCIM-A08SP6;ESCIM-A08SP6-SS3
EQP0000000088703629;A09G0031;CTO - UCAO-8;ESCIM_G1A09;RUA ANGELO BRESSAN CACHOEIRO DE ITAPEMIRIM ARARIGUABA 29305493 ES 165;CACHOEIRO DE ITAPEMIRIM;-20.858367400;-41.098515500;G0;ESCIM-A09SP8;ESCIM-A09SP8-SS3
EQP0000000088705045;A09G0190;CTO - UCAO-8;ESCIM_G1A09;RUA COSTA PEREIRA CACHOEIRO DE ITAPEMIRIM CENTRO 29300090 ES 41;CACHOEIRO DE ITAPEMIRIM;-20.849425500;-41.113075200;G0;ESCIM-A09SP48;ESCIM-A09SP48-SS2
EQP0000000088706803;A01G0051;CTO - UCAO-8;ESCIM_G1A01;RUA NICANOR BATISTA CACHOEIRO DE ITAPEMIRIM AEROPORTO 29314080 ES 20;CACHOEIRO DE ITAPEMIRIM;-20.827203300;-41.178521300;G0;ESCIM-A01SP13;ESCIM-A01SP13-SS3
EQP0000000088703110;A05G0493;CTO - UCAO-8;ESCIM_G1A05;RUA PEDRO DIAS CACHOEIRO DE ITAPEMIRIM CENTRO 29300107 ES 5;CACHOEIRO DE ITAPEMIRIM;-20.846901100;-41.119334000;G0;ESCIM-A05SP124;ESCIM-A05SP124-SS1
EQP0000000088701179;A03G0229;CTO - UCAO-8;ESCIM_G1A03;RUA MARIA DE ASSUMPCAO ATHAYDE CACHOEIRO DE ITAPEMIRIM CORAMARA 29313321 ES 22;CACHOEIRO DE ITAPEMIRIM;-20.835899100;-41.148754000;G0;ESCIM-A03SP58;ESCIM-A03SP58-SS1
