UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000070026294;I01G0308;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA CARLOS ALBERTO GUILHERME GUMS SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.005487600;-40.741227900;G0;ESSMJ-I01SP39;ESSMJ-I01SP39-SS4
EQP0000000070009244;I01G0348;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA ARNO BERGER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 439;SANTA MARIA DE JETIBA;-19.996441000;-40.741350200;G0;ESSMJ-I01SP44;ESSMJ-I01SP44-SS4
EQP0000000070054072;I01G0013;CTO - OPTAP-B 85/15;ESSMJ_G1I01;RUA HERMAN MIERTSCHINK SANTA MARIA DE JETIBA CENTRO 29645000 ES 189;SANTA MARIA DE JETIBA;-20.031704500;-40.741526700;G0;ESSMJ-I01SP2;ESSMJ-I01SP2-SS5
EQP0000000070041278;I01G0128;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA EMILIA ROEPKE BOLDT SANTA MARIA DE JETIBA CENTRO 29645000 ES 38;SANTA MARIA DE JETIBA;-20.026673300;-40.744611300;G0;ESSMJ-I01SP16;ESSMJ-I01SP16-SS8
EQP0000000070025857;I01G0142;CTO - OPTAP-B 70/30;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES 825;SANTA MARIA DE JETIBA;-20.027295700;-40.742260200;G0;ESSMJ-I01SP18;ESSMJ-I01SP18-SS6
EQP0000000070010717;I01G0218;CTO SPLITTER 1 8;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES 370;SANTA MARIA DE JETIBA;-20.021679600;-40.747057300;G0;ESSMJ-I01SP28;ESSMJ-I01SP28-SS1
EQP0000000070043110;I01G0276;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA ALBERTO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES 19;SANTA MARIA DE JETIBA;-20.020441000;-40.747349400;G0;ESSMJ-I01SP35;ESSMJ-I01SP35-SS4
EQP0000000070033335;I01G0164;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA FLORENCIO AUGUSTO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES 370;SANTA MARIA DE JETIBA;-20.025501900;-40.742493300;G0;ESSMJ-I01SP21;ESSMJ-I01SP21-SS4
EQP0000000070008712;I01G0304;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HENRIQUE FREDERICO STHUR SANTA MARIA DE JETIBA SAO LUIS 29645000 ES 23;SANTA MARIA DE JETIBA;-20.001380400;-40.738036600;G0;ESSMJ-I01SP38;ESSMJ-I01SP38-SS8
EQP0000000070004000;I01G0216;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES 20;SANTA MARIA DE JETIBA;-20.024319800;-40.745747800;G0;ESSMJ-I01SP27;ESSMJ-I01SP27-SS8
EQP0000000070022999;I01G0312;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HENRIQUE JOAO JULIO KUSTER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.002698600;-40.739193200;G0;ESSMJ-I01SP39;ESSMJ-I01SP39-SS8
EQP0000000070031965;I01G0167;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA FLORENCIO AUGUSTO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES 525;SANTA MARIA DE JETIBA;-20.025040500;-40.743894600;G0;ESSMJ-I01SP21;ESSMJ-I01SP21-SS7
EQP0000000070001745;I01G0364;CTO - OPTAP-B 60/40;ESSMJ_G1I01;RUA BOA VISTA SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 60;SANTA MARIA DE JETIBA;-20.000446700;-40.741657300;G0;ESSMJ-I01SP46;ESSMJ-I01SP46-SS3
EQP0000000069998667;I01G0360;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA EMILIO ALFREDO AUGUSTO JACOB SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 57;SANTA MARIA DE JETIBA;-20.000722000;-40.741473700;G0;ESSMJ-I01SP45;ESSMJ-I01SP45-SS8
EQP0000000070016164;I01G0252;CTO - OPTAP-B 60/40;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES 1391;SANTA MARIA DE JETIBA;-20.023240500;-40.745704700;G0;ESSMJ-I01SP32;ESSMJ-I01SP32-SS4
EQP0000000070044152;I01G0272;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA SEIS DE MAIO SANTA MARIA DE JETIBA CENTRO 29645000 ES 43;SANTA MARIA DE JETIBA;-20.020264500;-40.746620600;G0;ESSMJ-I01SP34;ESSMJ-I01SP34-SS8
EQP0000000069913574;I01G0466;CTO - OPTAP-B 60/40;ESSMJ_G1I01;RODOVIA KURT CARL LUDWIG KERCKHOF SANTA MARIA DE JETIBA VILA NOVA 29645000 ES 220;SANTA MARIA DE JETIBA;-20.015153900;-40.747659200;G0;ESSMJ-I01SP59;ESSMJ-I01SP59-SS2
EQP0000000070030832;I01G0344;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-19.996042200;-40.742264200;G0;ESSMJ-I01SP43;ESSMJ-I01SP43-SS8
EQP0000000069927344;I01G0416;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA VILA NOVA 29645000 ES 98;SANTA MARIA DE JETIBA;-20.018721200;-40.759495800;G0;ESSMJ-I01SP52;ESSMJ-I01SP52-SS8
EQP0000000069932022;I01G0420;CTO - OPTAP-B 60/40;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA VILA NOVA 29645000 ES 35;SANTA MARIA DE JETIBA;-20.018655100;-40.758943200;G0;ESSMJ-I01SP53;ESSMJ-I01SP53-SS4
EQP0000000070006282;I01G0352;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA ARNO BERGER SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN1;SANTA MARIA DE JETIBA;-19.999013200;-40.742091700;G0;ESSMJ-I01SP44;ESSMJ-I01SP44-SS8
EQP0000000070020749;I01G0175;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA FLORENCIO AUGUSTO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.023232300;-40.743745600;G0;ESSMJ-I01SP22;ESSMJ-I01SP22-SS7
EQP0000000069959910;I01G0388;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RODOVIA BR 355 SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.010556000;-40.744910900;G0;ESSMJ-I01SP49;ESSMJ-I01SP49-SS4
EQP0000000070034639;I01G0161;CTO SPLITTER 1 8;ESSMJ_G1I01;RUA FLORENCIO AUGUSTO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES 153;SANTA MARIA DE JETIBA;-20.027175500;-40.740618200;G0;ESSMJ-I01SP21;ESSMJ-I01SP21-SS1
EQP0000000070013439;I01G0297;CTO SPLITTER 1 8;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.003813800;-40.729193500;G0;ESSMJ-I01SP38;ESSMJ-I01SP38-SS1
EQP0000000070005398;I01GP212;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;RUA GUILHERME MIERTSCHINK SANTA MARIA DE JETIBA CENTRO 29645000 ES 163;SANTA MARIA DE JETIBA;-20.025875200;-40.746097600;GP;ESSMJ-I01SP27;ESSMJ-I01SP27-SS4
EQP0000000070029963;I01G0305;CTO SPLITTER 1 8;ESSMJ_G1I01;RUA ALBERTO RICARDO RICHARD GUMS SANTA MARIA DE JETIBA SAO LUIS 29645000 ES 116;SANTA MARIA DE JETIBA;-20.005903000;-40.742152900;G0;ESSMJ-I01SP39;ESSMJ-I01SP39-SS1
EQP0000000070051378;I01GP17;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;RUA HERMAN MIERTSCHINK SANTA MARIA DE JETIBA CENTRO 29645000 ES 463;SANTA MARIA DE JETIBA;-20.033737000;-40.739621700;GP;ESSMJ-I01SP3;ESSMJ-I01SP3-SS1
EQP0000000070008072;I01GP226;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES 75;SANTA MARIA DE JETIBA;-20.023746400;-40.746165600;GP;ESSMJ-I01SP29;ESSMJ-I01SP29-SS2
EQP0000000070414780;I01GP403;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30;ESSMJ_G1I01;RUA AUGUSTO MARTIN GERMANO  VESPER SANTA MARIA DE JETIBA SAO LUIS 29645000 ES 37;SANTA MARIA DE JETIBA;-20.014025500;-40.744638800;GP;ESSMJ-I01SP51;S8_1
EQP0000000229535183;I01GP401;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30;ESSMJ_G1I01;RUA AUGUSTO MARTIN GERMANO  VESPER SANTA MARIA DE JETIBA SAO LUIS 29645000 ES 37;SANTA MARIA DE JETIBA;-20.014025500;-40.744638800;GP;ESSMJ-I01SP51;S8_1
EQP0000000070007219;I01GP203;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;RUA AUGUSTO JACOB SANTA MARIA DE JETIBA CENTRO 29645000 ES 137;SANTA MARIA DE JETIBA;-20.025629500;-40.744931200;GP;ESSMJ-I01SP26;ESSMJ-I01SP26-SS3
EQP0000000229531133;I01GP274;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES 1652;SANTA MARIA DE JETIBA;-20.020481500;-40.746842800;GP;ESSMJ-I01SP35;S8_1
EQP0000000070028363;I01GP154;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES 1115;SANTA MARIA DE JETIBA;-20.025739000;-40.744260300;GP;ESSMJ-I01SP20;ESSMJ-I01SP20-SS2
EQP0000000070042259;I01GP25;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES 357;SANTA MARIA DE JETIBA;-20.031369700;-40.739892800;GP;ESSMJ-I01SP4;ESSMJ-I01SP4-SS1
EQP0000000230547664;I01GP275;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES 1652;SANTA MARIA DE JETIBA;-20.020481500;-40.746842800;GP;ESSMJ-I01SP35;S8_1
EQP0000000070014250;I01GP67;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESSMJ_G1I01;RUA DO IMIGRANTE (CENTRO) SANTA MARIA DE JETIBA CENTRO 29645000 ES 10;SANTA MARIA DE JETIBA;-20.030229100;-40.741212800;GP;ESSMJ-I01SP9;ESSMJ-I01SP9-SS3
EQP0000000070029352;I01G0050;CTO - OPTAP-B 60/40;ESSMJ_G1I01;LADEIRA TEODORO LITKE SANTA MARIA DE JETIBA CENTRO 29645000 ES 55;SANTA MARIA DE JETIBA;-20.034312500;-40.737953600;G0;ESSMJ-I01SP7;ESSMJ-I01SP7-SS2
EQP0000000070023859;I01G0144;CTO - OPTAP-B 70/30;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES 925;SANTA MARIA DE JETIBA;-20.026687900;-40.742992500;G0;ESSMJ-I01SP18;ESSMJ-I01SP18-SS8
EQP0000000070022215;I01G0132;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA HENRIQUE POTRAZ SANTA MARIA DE JETIBA CENTRO 29645000 ES 15;SANTA MARIA DE JETIBA;-20.028815000;-40.740681400;G0;ESSMJ-I01SP17;ESSMJ-I01SP17-SS4
EQP0000000069958142;I01G0389;CTO - OPTAP-B 85/15;ESSMJ_G1I01;RODOVIA BR 355 SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.011489900;-40.745223300;G0;ESSMJ-I01SP49;ESSMJ-I01SP49-SS5
EQP0000000070008709;I01G0224;CTO - OPTAP-B 70/30;ESSMJ_G1I01;RUA DOS EVANGELICOS SANTA MARIA DE JETIBA CENTRO 29645000 ES 74;SANTA MARIA DE JETIBA;-20.023660900;-40.746019100;G0;ESSMJ-I01SP28;ESSMJ-I01SP28-SS7
EQP0000000070027249;I01G0138;CTO - OPTAP-B 60/40;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.028655100;-40.741369600;G0;ESSMJ-I01SP18;ESSMJ-I01SP18-SS2
EQP0000000070053628;I01G0015;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HERMAN MIERTSCHINK SANTA MARIA DE JETIBA CENTRO 29645000 ES 290;SANTA MARIA DE JETIBA;-20.032486100;-40.741071600;G0;ESSMJ-I01SP2;ESSMJ-I01SP2-SS7
