UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094111|I01G01247|1|CBL0000000002729024|RSUGN-I01-SP156F1I01G01248|DROP 12F|12|Autossustentável|36.72|RSUGNHUB-44|EQP0000000002631572|I01G01248|EQP0000000002094083|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094111|I01G01247|2|CBL0000000002094197|RSUGN-I01-SP156F1I01G01247|DROP 12F|12|Autossustentável|61.87|I01G01247|EQP0000000002094111|I01G01248|EQP0000000002094083|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094228|I01G01246|1|CBL0000000002729024|RSUGN-I01-SP156F1I01G01248|DROP 12F|12|Autossustentável|36.72|RSUGNHUB-44|EQP0000000002631572|I01G01248|EQP0000000002094083|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094228|I01G01246|2|CBL0000000002094197|RSUGN-I01-SP156F1I01G01247|DROP 12F|12|Autossustentável|61.87|I01G01247|EQP0000000002094111|I01G01248|EQP0000000002094083|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094228|I01G01246|3|CBL0000000002094284|RSUGN-I01-SP156F1I01G01246|DROP 12F|12|Autossustentável|80.0|I01G01247|EQP0000000002094111|I01G01246|EQP0000000002094228|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094285|I01G01245|1|CBL0000000002729024|RSUGN-I01-SP156F1I01G01248|DROP 12F|12|Autossustentável|36.72|RSUGNHUB-44|EQP0000000002631572|I01G01248|EQP0000000002094083|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094285|I01G01245|2|CBL0000000002094197|RSUGN-I01-SP156F1I01G01247|DROP 12F|12|Autossustentável|61.87|I01G01247|EQP0000000002094111|I01G01248|EQP0000000002094083|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094285|I01G01245|3|CBL0000000002094284|RSUGN-I01-SP156F1I01G01246|DROP 12F|12|Autossustentável|80.0|I01G01247|EQP0000000002094111|I01G01246|EQP0000000002094228|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094285|I01G01245|4|CBL0000000002094312|RSUGN-I01-SP156F1I01G01245|DROP 12F|12|Autossustentável|75.68|I01G01246|EQP0000000002094228|I01G01245|EQP0000000002094285|1
RS|URUGUAIANA|RSUGN_G1I01|DGO2_RSUGN01|Secundario|LOC0000000001797004|PT1145|EQP0000000002631572|RSUGNHUB-44|EQP0000000002094313|I01G01244|1|CBL0000000002729024|RSUGN-I01-SP156F1I01G01248|DROP 12F|12|Autossustentável|36.72|RSUGNHUB-44|EQP0000000002631572|I01G01248|EQP0000000002094083|1
