IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000002393096|PT1700|LOC0000000001798114|Poste|-29.763363100|-57.075032300|Aerial|Autossustentável|34.290000000|34.290000000|PT1697|LOC0000000001798108|Poste|-29.763672400|-57.075036300|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1674|LOC0000000001798062|Poste|-29.760840500|-57.075053900|Aerial|Autossustentável|18.100000000|18.100000000|PT1680|LOC0000000001798074|Poste|-29.760677200|-57.075054100|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1680|LOC0000000001798074|Poste|-29.760677200|-57.075054100|Aerial|Autossustentável|36.750000000|36.750000000|PT1686|LOC0000000001798086|Poste|-29.760345700|-57.075054400|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1744|LOC0000000001798202|Poste|-29.763735200|-57.074535700|Aerial|Autossustentável|24.040000000|24.040000000|PT1745|LOC0000000001798204|Poste|-29.763733700|-57.074287100|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1674|LOC0000000001798062|Poste|-29.760840500|-57.075053900|Aerial|Autossustentável|27.460000000|27.460000000|PT1675|LOC0000000001798064|Poste|-29.761088200|-57.075048500|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1685|LOC0000000001798084|Poste|-29.760078700|-57.075054700|Aerial|Autossustentável|16.500000000|16.500000000|PT4234|LOC0000000002254767|Poste|-29.759929900|-57.075056900|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1679|LOC0000000001798072|Poste|-29.762264200|-57.075032400|Aerial|Autossustentável|32.200000000|32.200000000|PT1676|LOC0000000001798066|Poste|-29.762554700|-57.075030500|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1673|LOC0000000001798060|Poste|-29.761677000|-57.075034500|Aerial|Autossustentável|29.870000000|29.870000000|PT1678|LOC0000000001798070|Poste|-29.761946500|-57.075033500|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1678|LOC0000000001798070|Poste|-29.761946500|-57.075033500|Aerial|Autossustentável|35.220000000|35.220000000|PT1679|LOC0000000001798072|Poste|-29.762264200|-57.075032400|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1739|LOC0000000001798192|Poste|-29.763736300|-57.074951400|Aerial|Autossustentável|40.200000000|40.200000000|PT1744|LOC0000000001798202|Poste|-29.763735200|-57.074535700|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1672|LOC0000000001798058|Poste|-29.761393700|-57.075039600|Aerial|Autossustentável|31.410000000|31.410000000|PT1673|LOC0000000001798060|Poste|-29.761677000|-57.075034500|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1686|LOC0000000001798086|Poste|-29.760345700|-57.075054400|Aerial|Autossustentável|29.600000000|29.600000000|PT1685|LOC0000000001798084|Poste|-29.760078700|-57.075054700|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
CBL0000000002393096|PT1745|LOC0000000001798204|Poste|-29.763733700|-57.074287100|Aerial|Autossustentável|36.640000000|36.640000000|PT1742|LOC0000000001798198|Poste|-29.763737500|-57.073908300|EQP0000000002372130|RSUGNFOSC-31|LOC0000000001798198|Poste|PT1742|-29.763737500|-57.073908300|EQP0000000002388161|RSUGNHUB-28|LOC0000000002254767|Poste|PT4234|-29.759929900|-57.075056900|RS|URUGUAIANA|RSUGN_G1I01
