UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000004672791;I01G01249;CTO SPLITTER 1 8;ESVIA_G1I01;RUA MINAS GERAIS VIANA VILA BETHANIA 29136092 ES 34;VIANA;-20.358769200;-40.407388500;G0;ESVIA-I01SP157;ESVIA-I01SP157-SS1
EQP0000000004625903;I01G01422;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA ANTONIO FREIRE VIANA MARCILIO DE NORONHA 29135323 ES 24;VIANA;-20.340697500;-40.420547000;G0;ESVIA-I01SP178;ESVIA-I01SP178-SS6
EQP0000000004623681;I01G01389;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SAO JOAO VIANA MARCILIO DE NORONHA 29135000 ES QD17-LT1;VIANA;-20.340468100;-40.423237400;G0;ESVIA-I01SP174;ESVIA-I01SP174-SS5
EQP0000000004659014;I01G01283;CTO SPLITTER 1 8;ESVIA_G1I01;RUA NOSSA SENHORA APARECIDA VIANA ARLINDO VILLASCHI 29136209 ES 8;VIANA;-20.361915100;-40.411544500;G0;ESVIA-I01SP161;ESVIA-I01SP161-SS3
EQP0000000004715544;I01G0279;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA RIO GRANDE DO SUL VIANA MARCILIO DE NORONHA 29135341 ES 11;VIANA;-20.350824200;-40.426503600;G0;ESVIA-I01SP35;ESVIA-I01SP35-SS7
EQP0000000004750006;I01G0079;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CARLOS ALBERTO NASCIMENTO VIANA UNIVERSAL 29134457 ES 5;VIANA;-20.359338400;-40.446911500;G0;ESVIA-I01SP10;ESVIA-I01SP10-SS7
EQP0000000004704351;I01G01155;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DOMINGOS VICENTE VIANA VILA BETHANIA 29136114 ES 76;VIANA;-20.362518900;-40.408573400;G0;ESVIA-I01SP145;ESVIA-I01SP145-SS3
EQP0000000004668816;I01G01262;CTO SPLITTER 1 8;ESVIA_G1I01;RUA JERONIMO MONTEIRO VIANA VILA BETHANIA 29136079 ES 21;VIANA;-20.358664500;-40.408829600;G0;ESVIA-I01SP158;ESVIA-I01SP158-SS6
EQP0000000004670728;I01G01257;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ARTHUR BERNARDES VIANA VILA BETHANIA 29136082 ES 59;VIANA;-20.359907400;-40.407617100;G0;ESVIA-I01SP158;ESVIA-I01SP158-SS1
EQP0000000004490653;I01G01684;CTO SPLITTER 1 8;ESVIA_G1I01;RUA COLATINA VIANA MARCILIO DE NORONHA 29135644 ES QD1-LT14;VIANA;-20.347912900;-40.422205200;G0;ESVIA-I01SP211;ESVIA-I01SP211-SS4
EQP0000000004680018;I01G01198;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SANTA HELENA VIANA VILA BETHANIA 29136013 ES SN;VIANA;-20.360542400;-40.405329000;G0;ESVIA-I01SP150;ESVIA-I01SP150-SS6
EQP0000000004542387;I01G01547;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DIADEMA VIANA MARCILIO DE NORONHA 29135384 ES QD52-LT16;VIANA;-20.348281800;-40.426942500;G0;ESVIA-I01SP194;ESVIA-I01SP194-SS3
EQP0000000004536614;I01GP1483;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESVIA_G1I01;AVENIDA BENJAMIM VITORIO VIANA INDUSTRIAL 29135563 ES 6;VIANA;-20.346210600;-40.422389000;GP;ESVIA-I01SP186;ESVIA-I01SP186-SS3
EQP0000000004536942;I01G01544;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DIADEMA VIANA MARCILIO DE NORONHA 29135384 ES QD51-LT1;VIANA;-20.345249100;-40.426975000;G0;ESVIA-I01SP193;ESVIA-I01SP193-SS8
EQP0000000004622302;I01G01525;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA PIRACICABA VIANA MARCILIO DE NORONHA 29135391 ES SN;VIANA;-20.346661600;-40.427483200;G0;ESVIA-I01SP191;ESVIA-I01SP191-SS5
EQP0000000004532894;I01G01578;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BAURU VIANA MARCILIO DE NORONHA 29135375 ES QD38-LT8;VIANA;-20.345088800;-40.425647000;G0;ESVIA-I01SP198;ESVIA-I01SP198-SS2
EQP0000000004500085;I01G01655;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ECOPORANGA VIANA MARCILIO DE NORONHA 29135617 ES QD11-LT9;VIANA;-20.346670800;-40.423668300;G0;ESVIA-I01SP207;ESVIA-I01SP207-SS7
EQP0000000004728626;I01G0150;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BOA SORTE VIANA CANAA 29135047 ES 3;VIANA;-20.357923200;-40.438757500;G0;ESVIA-I01SP19;ESVIA-I01SP19-SS6
EQP0000000004651314;I01G01299;CTO SPLITTER 1 8;ESVIA_G1I01;RUA LUIZA CAZOTTI VIANA VILA BETHANIA 29136030 ES SN;VIANA;-20.358070900;-40.416947900;G0;ESVIA-I01SP163;ESVIA-I01SP163-SS3
EQP0000000004708498;I01G0303;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA PRIMAVERA VIANA MARCILIO DE NORONHA 29135365 ES 13;VIANA;-20.350271600;-40.426573400;G0;ESVIA-I01SP38;ESVIA-I01SP38-SS7
EQP0000000004727388;I01G0141;CTO SPLITTER 1 8;ESVIA_G1I01;RUA JOSE ENGILIARDIT VIANA CANAA 29135050 ES SN;VIANA;-20.356551600;-40.437930400;G0;ESVIA-I01SP18;ESVIA-I01SP18-SS5
EQP0000000004490790;I01G01683;CTO SPLITTER 1 8;ESVIA_G1I01;RUA COLATINA VIANA MARCILIO DE NORONHA 29135644 ES QD1-LT9;VIANA;-20.347600600;-40.422193800;G0;ESVIA-I01SP211;ESVIA-I01SP211-SS3
EQP0000000004490182;I01G01686;CTO SPLITTER 1 8;ESVIA_G1I01;RUA COLATINA VIANA MARCILIO DE NORONHA 29135644 ES QD1-LT21;VIANA;-20.348939500;-40.422290100;G0;ESVIA-I01SP211;ESVIA-I01SP211-SS6
EQP0000000004776413;I01G0071;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SANTA LUZIA VIANA UNIVERSAL 29134445 ES SN;VIANA;-20.360400100;-40.447879100;G0;ESVIA-I01SP9;ESVIA-I01SP9-SS7
EQP0000000142615218;I01GP1486;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESVIA_G1I01;AVENIDA BENJAMIM VITORIO VIANA INDUSTRIAL 29135563 ES 6;VIANA;-20.345773800;-40.422548300;GP;ESVIA-I01SP186;ESVIA-I01SP186-SS6
EQP0000000004531667;I01G01583;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SOROCABA VIANA MARCILIO DE NORONHA 29135372 ES QD33-LT18;VIANA;-20.346092200;-40.425175200;G0;ESVIA-I01SP198;ESVIA-I01SP198-SS7
EQP0000000004749608;I01G0040;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA RESPLENDOR VIANA UNIVERSAL 29134683 ES 18;VIANA;-20.355507600;-40.447625500;G0;ESVIA-I01SP5;ESVIA-I01SP5-SS8
EQP0000000004746905;I01G0082;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA RESPLENDOR VIANA UNIVERSAL 29134683 ES SN;VIANA;-20.357557500;-40.446063300;G0;ESVIA-I01SP11;ESVIA-I01SP11-SS2
EQP0000000004718638;I01G0272;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA VITORIA VIANA MARCILIO DE NORONHA 29135368 ES SN;VIANA;-20.349131300;-40.424785100;G0;ESVIA-I01SP34;ESVIA-I01SP34-SS8
EQP0000000004777804;I01G0018;CTO SPLITTER 1 8;ESVIA_G1I01;RUA OITO VIANA UNIVERSAL 29135000 ES SN;VIANA;-20.359238400;-40.453401500;G0;ESVIA-I01SP3;ESVIA-I01SP3-SS2
EQP0000000004532921;I01G01568;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CAMPOS DO JORDAO VIANA MARCILIO DE NORONHA 29135388 ES QD44-LT31;VIANA;-20.347548600;-40.426434600;G0;ESVIA-I01SP196;ESVIA-I01SP196-SS8
EQP0000000004779905;I01G0041;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA LINHARES VIANA UNIVERSAL 29134494 ES SN;VIANA;-20.359509000;-40.451130000;G0;ESVIA-I01SP6;ESVIA-I01SP6-SS1
