UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000042938533;I03G01686;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA DOMINGOS MARTINS GUARAPARI SANTA MARGARIDA 29203300 ES 8;GUARAPARI;-20.674364300;-40.520296700;G0;ESGRI-I03SP211;ESGRI-I03SP211-SS6
EQP0000000042934498;I03GP683;TO;ESGRI_G1I03;RUA DOUTOR SILVA MELLO GUARAPARI SAO JUDAS TADEU 29200645 ES 106;GUARAPARI;-20.672938900;-40.498508200;GP;ESGRI-I03SP86;ESGRI-I03SP86-SS3
EQP0000000042933726;I03G02287;CTO - PAD TELEFONICA;ESGRI_G1I03;AVENIDA ANCHIETA GUARAPARI IPIRANGA 29201010 ES 423;GUARAPARI;-20.676785000;-40.504277800;G0;ESGRI-I03SP286;ESGRI-I03SP286-SS7
EQP0000000042935857;I02G01478;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA BELA VISTA GUARAPARI SOL NASCENTE 29210440 ES 532;GUARAPARI;-20.655242800;-40.509355700;G0;ESGRI-I02SP185;ESGRI-I02SP185-SS6
EQP0000000042933904;I03G01992;CTO - PAD TELEFONICA;ESGRI_G1I03;LADEIRA DOUTOR GERSON DA SILVA FREIRE GUARAPARI IPIRANGA 29201070 ES 245;GUARAPARI;-20.676782900;-40.507016300;G0;ESGRI-I03SP249;ESGRI-I03SP249-SS8
EQP0000000063657381;I02G0202;CTO - PAD TELEFONICA - B;ESGRI_G1I02;AVENIDA SAO PAULO GUARAPARI BELA VISTA 29211114 ES 71;GUARAPARI;-20.643342000;-40.515416700;G0;ESGRI-I02SP26;ESGRI-I02SP26-SS1
EQP0000000042935278;I02G01175;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA DALVA DE JESUS MERIGUETTI GUARAPARI ITAPEBUSSU 29210280 ES 997;GUARAPARI;-20.661630100;-40.512219700;G0;ESGRI-I02SP147;ESGRI-I02SP147-SS7
EQP0000000063635754;I02G0581;CTO SPLITTER 1 8;ESGRI_G1I02;RUA ACRE GUARAPARI CAMURUGI 29210380 ES 81;GUARAPARI;-20.659202500;-40.517125000;G0;ESGRI-I02SP73;ESGRI-I02SP73-SS5
EQP0000000042935231;I02G0858;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA R GUARAPARI ADALBERTO SIMAO NADER 29214360 ES 82;GUARAPARI;-20.646556200;-40.500319400;G0;ESGRI-I02SP108;ESGRI-I02SP108-SS2
EQP0000000042933670;I03G01136;CTO - PAD TELEFONICA;ESGRI_G1I03;LADEIRA JOSE CAPISTRANO NOBRE GUARAPARI IPIRANGA 29201013 ES 1033;GUARAPARI;-20.677438300;-40.503639400;G0;ESGRI-I03SP142;ESGRI-I03SP142-SS8
EQP0000000042934115;I03G01967;CTO - PAD TELEFONICA;ESGRI_G1I03;RUA DOUTOR SALK GUARAPARI COMUNIDADE URBANA DE MAXINDA 29202120 ES 35;GUARAPARI;-20.671095600;-40.510706100;G0;ESGRI-I03SP246;ESGRI-I03SP246-SS7
EQP0000000042935092;I04G01650;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA SEM NOME 136 GUARAPARI   29000000 ES SN;GUARAPARI;-20.641102300;-40.482922000;G0;ESGRI-I04SP207;ESGRI-I04SP207-SS2
EQP0000000042935206;I03G01171;CTO - PAD TELEFONICA;ESGRI_G1I03;AVENIDA PEDRO RAMOS GUARAPARI SAO JUDAS TADEU 29200700 ES 434;GUARAPARI;-20.671091300;-40.506738300;G0;ESGRI-I03SP147;ESGRI-I03SP147-SS3
EQP0000000042933233;I01GP783;TO;ESGRI_G1I01;AVENIDA BEIRA MAR GUARAPARI PRAIA DO MORRO 29216010 ES 1900;GUARAPARI;-20.652131200;-40.483966900;GP;ESGRI-I01SP98;ESGRI-I01SP98-SS7
EQP0000000042929953;I04GP335;TO;ESGRI_G1I04;AVENIDA BEIRA MAR GUARAPARI PRAIA DO MORRO 29216010 ES 2010;GUARAPARI;-20.651756500;-40.480064200;GP;ESGRI-I04SP42;ESGRI-I04SP42-SS7
EQP0000000042933462;I04G01161;CTO - PAD TELEFONICA;ESGRI_G1I04;RUA LAURO FARIAS SANTOS GUARAPARI JARDIM SANTA ROSA 29217285 ES 41;GUARAPARI;-20.638899100;-40.486828500;G0;ESGRI-I04SP146;ESGRI-I04SP146-SS1
EQP0000000042930240;I04GP333;TO;ESGRI_G1I04;AVENIDA BEIRA MAR GUARAPARI PRAIA DO MORRO 29216010 ES 906;GUARAPARI;-20.651805100;-40.479562700;GP;ESGRI-I04SP42;ESGRI-I04SP42-SS5
EQP0000000042932480;I02G01156;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA OZEIAS SANTIAGO GUARAPARI ITAPEBUSSU 29210240 ES 735;GUARAPARI;-20.662430200;-40.512346700;G0;ESGRI-I02SP145;ESGRI-I02SP145-SS4
EQP0000000042933257;I02G0253;CTO - PAD TELEFONICA;ESGRI_G1I02;RUA SEM NOME 141 GUARAPARI   29000000 ES SN;GUARAPARI;-20.657630800;-40.500824300;G0;ESGRI-I02SP32;ESGRI-I02SP32-SS5
EQP0000000042934811;I01G01395;CTO - PAD TELEFONICA;ESGRI_G1I01;RUA GENNARO MAIO GUARAPARI PRAIA DO MORRO 29216175 ES 80;GUARAPARI;-20.654326200;-40.493527600;G0;ESGRI-I01SP175;ESGRI-I01SP175-SS3
EQP0000000042937037;I05G0277;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA ANTONIO BRANDAO DA ROCHA GUARAPARI PEROCAO 29220615 ES 7;GUARAPARI;-20.618972700;-40.467980500;G0;ESGRI-I05SP35;ESGRI-I05SP35-SS5
EQP0000000042935275;I02G0880;CTO - PAD TELEFONICA;ESGRI_G1I02;AVENIDA JOAO ALMEIDA GUARAPARI ADALBERTO SIMAO NADER 29214400 ES 217;GUARAPARI;-20.647580400;-40.499630300;G0;ESGRI-I02SP110;ESGRI-I02SP110-SS8
EQP0000000062263990;I01GP792;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;ESGRI_G1I01;AVENIDA BEIRA MAR GUARAPARI PRAIA DO MORRO 29216010 ES 1015;GUARAPARI;-20.652758200;-40.484943400;GP;ESGRI-I01SP99;ESGRI-I01SP99-SS8
EQP0000000069210686;I02G0437;CTO SPLITTER 1 8;ESGRI_G1I02;RUA PERNAMBUCO GUARAPARI JARDIM BOA VISTA 29217140 ES 550;GUARAPARI;-20.642212500;-40.520006100;G0;ESGRI-I02SP55;ESGRI-I02SP55-SS5
