UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000007040358;I01GP854;TO;RSALG_G1I01;AVENIDA ASSIS BRASIL ALEGRETE CENTRO 97543000 RS 440;ALEGRETE;-29.792337900;-55.799925700;GP;RSALG-I01SP107;RSALG-I01SP107-SS6;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/4/10
EQP0000000007041150;I01G0030;CTO - OPTAP;RSALG_G1I01;RUA ICARO FERREIRA DA COSTA ALEGRETE JARDIM PLANALTO 97545270 RS 402;ALEGRETE;-29.808381400;-55.811265400;G0;RSALG-I01SP4;RSALG-I01SP4-SS6;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/1/4
EQP0000000007039630;I01G0692;CTO - OPTAP;RSALG_G1I01;RUA PANAMA ALEGRETE VERA CRUZ 97544380 RS 48;ALEGRETE;-29.794604200;-55.807688800;G0;RSALG-I01SP87;RSALG-I01SP87-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/3/13
EQP0000000007041337;I01G0354;CTO - OPTAP;RSALG_G1I01;RUA BENTO MANOEL ALEGRETE CENTRO 97543070 RS 97;ALEGRETE;-29.799144200;-55.803661400;G0;RSALG-I01SP45;RSALG-I01SP45-SS2;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/9
EQP0000000007040356;I01GP851;TO;RSALG_G1I01;AVENIDA ASSIS BRASIL ALEGRETE CENTRO 97543000 RS 440;ALEGRETE;-29.792262000;-55.800157600;GP;RSALG-I01SP107;RSALG-I01SP107-SS3;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/4/10
EQP0000000007042527;I01G02271;CTO - OPTAP;RSALG_G1I01;RUA JOAO PEDRO DE SOUZA ALEGRETE IBIRAPUITÃ 97546340 RS 60;ALEGRETE;-29.785868200;-55.769796600;G0;RSALG-I01SP284;RSALG-I01SP284-SS7;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/3/6
EQP0000000007042943;I01GP1142;TO;RSALG_G1I01;RUA TIRADENTES ALEGRETE CENTRO 97542590 RS 497;ALEGRETE;-29.786657300;-55.786448200;GP;RSALG-I01SP143;RSALG-I01SP143-SS6;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/3
EQP0000000007039558;I01GP1139;TO;RSALG_G1I01;RUA TIRADENTES ALEGRETE CENTRO 97542590 RS 497;ALEGRETE;-29.786745500;-55.786469600;GP;RSALG-I01SP143;RSALG-I01SP143-SS3;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/3
EQP0000000007039562;I01GP1141;TO;RSALG_G1I01;RUA TIRADENTES ALEGRETE CENTRO 97542590 RS 497;ALEGRETE;-29.786383000;-55.786364000;GP;RSALG-I01SP143;RSALG-I01SP143-SS5;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/3
EQP0000000007040171;I01G0964;CTO - OPTAP;RSALG_G1I01;RUA DOUTOR VIRGILIO MACHADO ALEGRETE INDEPENDÊNCIA 97542240 RS 155;ALEGRETE;-29.790869600;-55.797254100;G0;RSALG-I01SP121;RSALG-I01SP121-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/4/14
