IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000011327489|63286|LOC0000000006985838|Poste|-29.803981600|-55.808008500|Aerial|Cordoalha|35.740000000|35.740000000|63343|LOC0000000006984631|Poste|-29.804297600|-55.807935000|EQP0000000007041323|I01G0051|LOC0000000006985839|Poste|63287|-29.803708000|-55.808065800|EQP0000000007041322|I01G0050|LOC0000000006985850|Poste|63296|-29.804886300|-55.807799100|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325675|67407|LOC0000000006986395|Poste|-29.789920100|-55.793869100|Aerial|Cordoalha|38.700000000|38.700000000|58202|LOC0000000006982395|Poste|-29.790097300|-55.793524200|EQP0000000007039985|I01G0971|LOC0000000006986392|Poste|67404|-29.790214800|-55.794626500|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325675|67407|LOC0000000006986395|Poste|-29.789920100|-55.793869100|Aerial|Cordoalha|10.280000000|10.280000000|67406|LOC0000000006986394|Poste|-29.789964900|-55.793962200|EQP0000000007039985|I01G0971|LOC0000000006986392|Poste|67404|-29.790214800|-55.794626500|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325675|67405|LOC0000000006986393|Poste|-29.790037600|-55.794266200|Aerial|Cordoalha|39.990000000|39.990000000|67404|LOC0000000006986392|Poste|-29.790214800|-55.794626500|EQP0000000007039985|I01G0971|LOC0000000006986392|Poste|67404|-29.790214800|-55.794626500|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011325675|67406|LOC0000000006986394|Poste|-29.789964900|-55.793962200|Aerial|Cordoalha|30.480000000|30.480000000|67405|LOC0000000006986393|Poste|-29.790037600|-55.794266200|EQP0000000007039985|I01G0971|LOC0000000006986392|Poste|67404|-29.790214800|-55.794626500|EQP0000000007039986|I01G0970|LOC0000000006982395|Poste|58202|-29.790097300|-55.793524200|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56455|LOC0000000006982647|Poste|-29.785267600|-55.787542100|Aerial|Cordoalha|18.390000000|18.390000000|56454|LOC0000000006982600|Poste|-29.785222400|-55.787725100|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56410|LOC0000000006982532|Poste|-29.785162100|-55.788106400|Aerial|Cordoalha|37.470000000|37.470000000|56454|LOC0000000006982600|Poste|-29.785222400|-55.787725100|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56407|LOC0000000006982529|Poste|-29.786016200|-55.788377300|Aerial|Cordoalha|39.200000000|39.200000000|56408|LOC0000000006982530|Poste|-29.785675200|-55.788269800|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56456|LOC0000000006982648|Poste|-29.785337400|-55.787259500|Aerial|Cordoalha|42.480000000|42.480000000|56457|LOC0000000006982649|Poste|-29.785441800|-55.786836800|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56406|LOC0000000006982528|Poste|-29.786294600|-55.788466800|Aerial|Cordoalha|32.050000000|32.050000000|56407|LOC0000000006982529|Poste|-29.786016200|-55.788377300|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56409|LOC0000000006982531|Poste|-29.785475900|-55.788206200|Aerial|Cordoalha|36.100000000|36.100000000|56410|LOC0000000006982532|Poste|-29.785162100|-55.788106400|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56457|LOC0000000006982649|Poste|-29.785441800|-55.786836800|Aerial|Cordoalha|30.080000000|30.080000000|56498|LOC0000000006982650|Poste|-29.785515700|-55.786537500|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56406|LOC0000000006982528|Poste|-29.786294600|-55.788466800|Aerial|Cordoalha|38.750000000|38.750000000|56405|LOC0000000006982527|Poste|-29.786631400|-55.788574300|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56455|LOC0000000006982647|Poste|-29.785267600|-55.787542100|Aerial|Cordoalha|28.400000000|28.400000000|56456|LOC0000000006982648|Poste|-29.785337400|-55.787259500|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330279|56408|LOC0000000006982530|Poste|-29.785675200|-55.788269800|Aerial|Cordoalha|22.930000000|22.930000000|56409|LOC0000000006982531|Poste|-29.785475900|-55.788206200|EQP0000000007039807|CAIXA DE EMENDA GENERICA 63|LOC0000000006982527|Poste|56405|-29.786631400|-55.788574300|EQP0000000007042894|CAIXA DE EMENDA GENERICA 12|LOC0000000006982650|Poste|56498|-29.785515700|-55.786537500|RS|ALEGRETE|RSALG_G1I01
CBL0000000011330475|51316|LOC0000000006982833|Poste|-29.784944900|-55.781371300|Aerial|Cordoalha|25.030000000|25.030000000|51135|LOC0000000006981671|Poste|-29.784720100|-55.781395300|EQP0000000007039541|I01G02291|LOC0000000006982836|Poste|51319|-29.784968600|-55.781959800|EQP0000000007039542|I01G02290|LOC0000000006981670|Poste|51134|-29.784393600|-55.781354800|RS|ALEGRETE|RSALG_G1I01
